=== Namespace Summary ===
Namespace,obj_count,ds_count,total_count,obj_size,obj_size_human,ds_size,ds_size_human,total_size,total_size_human
ARCH-SEASIDE,4553,14212,18765,81911119,78.12 MiB,10595123591,10.60 GB,10677034710,10.68 GB
CATHOLLIC-PAMPHLET,1503,1533,3036,5809075,5.54 MiB,16917227132,16.92 GB,16923036207,16.92 GB
CYL,95,95,190,357440,349.06 KiB,1688181000,1.69 GB,1688538440,1.69 GB
LAPOP,244,202,446,1220339,1.16 MiB,83081188,79.23 MiB,84301527,80.40 MiB
NDU,99,117,216,966770,944.11 KiB,11979719902,11.98 GB,11980686672,11.98 GB
RBSC-BPP1001,565,2,567,201310874,191.99 MiB,775620,757.44 KiB,202086494,192.72 MiB
RBSC-CURRENCY,1643,4150,5793,29150583,27.80 MiB,1037848663,1.04 GB,1066999246,1.07 GB
RBSC-EPH5000,327,2,329,17815619,16.99 MiB,211710,206.75 KiB,18027329,17.19 MiB
RBSC-EPH5001,108,1,109,32163893,30.67 MiB,37412,36.54 KiB,32201305,30.71 MiB
RBSC-EPH5002,172,6,178,72518148,69.16 MiB,819723,800.51 KiB,73337871,69.94 MiB
RBSC-EPH5004,73,2,75,13167610,12.56 MiB,46245,45.16 KiB,13213855,12.60 MiB
RBSC-EPH5006,73,1,74,1146815,1.09 MiB,30977,30.25 KiB,1177792,1.12 MiB
RBSC-EPH5009,249,2,251,79690619,76.00 MiB,267037,260.78 KiB,79957656,76.25 MiB
RBSC-EPHDURAND,92,1,93,75604227,72.10 MiB,79376,77.52 KiB,75683603,72.18 MiB
RBSC-INQ,968,2537,3505,15597024,14.87 MiB,19714940933,19.71 GB,19730537957,19.73 GB
RBSC-MSEMD3811,12,2,14,246581,240.80 KiB,39414,38.49 KiB,285995,279.29 KiB
RBSC-MSEREE0014,82,1,83,1008633,984.99 KiB,53654,52.40 KiB,1062287,1.01 MiB
RBSC-MSGILL,886,3,889,27542147,26.27 MiB,1018090,994.23 KiB,28560237,27.24 MiB
RBSC-MSNCOL0500,18,1,19,14771506,14.09 MiB,32823,32.05 KiB,14804329,14.12 MiB
RBSC-MSNCOL2717,3,1,4,347980,339.82 KiB,4766,4.65 KiB,352746,344.48 KiB
RBSC-MSNCOL2718,3,1,4,312026,304.71 KiB,5030,4.91 KiB,317056,309.62 KiB
RBSC-MSNCOL7901,5,1,6,1127607,1.08 MiB,7976,7.79 KiB,1135583,1.08 MiB
RBSC-MSNCOL8500,7,1,8,3294006,3.14 MiB,16786,16.39 KiB,3310792,3.16 MiB
RBSC-MSNCOL8501,15,1,16,9013854,8.60 MiB,24903,24.32 KiB,9038757,8.62 MiB
RBSC-MSNCOL9100,4,1,5,824892,805.56 KiB,8471,8.27 KiB,833363,813.83 KiB
RBSC-MSNCOL910101B,3,1,4,771574,753.49 KiB,9946,9.71 KiB,781520,763.20 KiB
RBSC-MSNCOL9300,6,1,7,347692,339.54 KiB,8659,8.46 KiB,356351,348.00 KiB
RBSC-MSNCOL9404,49,1,50,5370946,5.12 MiB,32417,31.66 KiB,5403363,5.15 MiB
RBSC-MSNCW1000,18,5,23,5871824,5.60 MiB,124682,121.76 KiB,5996506,5.72 MiB
RBSC-MSNCW1001,214,0,214,6183984,5.90 MiB,0,0 bytes,6183984,5.90 MiB
RBSC-MSNCW1004,3,1,4,288868,282.10 KiB,5032,4.91 KiB,293900,287.01 KiB
RBSC-MSNCW5000,3,1,4,593206,579.30 KiB,4502,4.40 KiB,597708,583.70 KiB
RBSC-MSNCW5001,3,1,4,589576,575.76 KiB,4436,4.33 KiB,594012,580.09 KiB
RBSC-MSNCW5003,3,1,4,597110,583.12 KiB,4527,4.42 KiB,601637,587.54 KiB
RBSC-MSNCW5004,3,1,4,550209,537.31 KiB,4622,4.51 KiB,554831,541.83 KiB
RBSC-MSNCW5007,3,1,4,597785,583.77 KiB,4545,4.44 KiB,602330,588.21 KiB
RBSC-MSNCW5009,3,1,4,618304,603.81 KiB,4759,4.65 KiB,623063,608.46 KiB
RBSC-MSNCW5010,3,1,4,480435,469.17 KiB,4570,4.46 KiB,485005,473.64 KiB
RBSC-MSNCW5011,3,1,4,489418,477.95 KiB,4748,4.64 KiB,494166,482.58 KiB
RBSC-MSNCW5012,3,1,4,490039,478.55 KiB,4691,4.58 KiB,494730,483.13 KiB
RBSC-MSNCW5013,3,1,4,620713,606.17 KiB,4907,4.79 KiB,625620,610.96 KiB
RBSC-MSNCW5014,3,2,5,644638,629.53 KiB,10192,9.95 KiB,654830,639.48 KiB
RBSC-MSNCW5015,3,1,4,457813,447.08 KiB,5139,5.02 KiB,462952,452.10 KiB
RBSC-MSNCW5023,3,1,4,422161,412.27 KiB,4592,4.48 KiB,426753,416.75 KiB
RBSC-MSNCW5024,3,1,4,478249,467.04 KiB,4604,4.50 KiB,482853,471.54 KiB
RBSC-MSNCW5025,3,1,4,514531,502.47 KiB,5056,4.94 KiB,519587,507.41 KiB
RBSC-MSNCW5026,3,1,4,590332,576.50 KiB,4475,4.37 KiB,594807,580.87 KiB
RBSC-MSNCW5029,3,1,4,662443,646.92 KiB,4636,4.53 KiB,667079,651.44 KiB
RBSC-MSNCW5030,3,1,4,580290,566.69 KiB,5158,5.04 KiB,585448,571.73 KiB
RBSC-MSNCW5031,3,1,4,483491,472.16 KiB,4500,4.39 KiB,487991,476.55 KiB
RBSC-MSNCW5033,3,1,4,624502,609.87 KiB,4890,4.78 KiB,629392,614.64 KiB
RBSC-MSNCW5037,3,1,4,499183,487.48 KiB,4884,4.77 KiB,504067,492.25 KiB
RBSC-MSNCW5039,3,1,4,599791,585.73 KiB,4605,4.50 KiB,604396,590.23 KiB
RBSC-MSNCW5040,3,1,4,650083,634.85 KiB,4524,4.42 KiB,654607,639.26 KiB
RBSC-MSNCW5043,3,1,4,632810,617.98 KiB,5064,4.95 KiB,637874,622.92 KiB
RBSC-MSNCW5050,3,1,4,495082,483.48 KiB,4922,4.81 KiB,500004,488.29 KiB
RBSC-MSNCW5053,3,1,4,567467,554.17 KiB,4870,4.76 KiB,572337,558.92 KiB
RBSC-MSNCW5058,3,1,4,532789,520.30 KiB,4522,4.42 KiB,537311,524.72 KiB
RBSC-MSNCW5061,43,12,55,31094152,29.65 MiB,1187719,1.13 MiB,32281871,30.79 MiB
RBSC-MSNCW5066,3,1,4,597319,583.32 KiB,4589,4.48 KiB,601908,587.80 KiB
RBSC-MSNCW5068,136,4,140,1572791,1.50 MiB,276027,269.56 KiB,1848818,1.76 MiB
RBSC-MSNCW5089,58,1,59,8815277,8.41 MiB,31977,31.23 KiB,8847254,8.44 MiB
RBSC-MSNCW8000,3,1,4,514089,502.04 KiB,4406,4.30 KiB,518495,506.34 KiB
RBSC-MSNCW8001,3,1,4,523894,511.62 KiB,4568,4.46 KiB,528462,516.08 KiB
RBSC-MSNCW8002,3,1,4,716065,699.28 KiB,4656,4.55 KiB,720721,703.83 KiB
RBSC-MSNCW8003,3,1,4,544366,531.61 KiB,4865,4.75 KiB,549231,536.36 KiB
RBSC-MSNCW8007,3,1,4,525709,513.39 KiB,4619,4.51 KiB,530328,517.90 KiB
RBSC-MSNCW8010,3,1,4,439406,429.11 KiB,4647,4.54 KiB,444053,433.65 KiB
RBSC-MSNCW8011,3,1,4,266108,259.87 KiB,4545,4.44 KiB,270653,264.31 KiB
RBSC-MSNEA0200,21,1,22,3512657,3.35 MiB,19808,19.34 KiB,3532465,3.37 MiB
RBSC-MSNEA0500,36,2,38,126425510,120.57 MiB,166764,162.86 KiB,126592274,120.73 MiB
RBSC-MSNEA0502,99,3,102,7432296,7.09 MiB,123421,120.53 KiB,7555717,7.21 MiB
RBSC-MSNEA0503,182,1,183,21124250,20.15 MiB,72567,70.87 KiB,21196817,20.21 MiB
RBSC-MSNEA0504,79,1,80,25820337,24.62 MiB,170847,166.84 KiB,25991184,24.79 MiB
RBSC-MSNEA0506,143,1,144,44644341,42.58 MiB,68204,66.61 KiB,44712545,42.64 MiB
RBSC-MSNEA0508,143,1,144,1688340,1.61 MiB,69825,68.19 KiB,1758165,1.68 MiB
RBSC-MSNEA0526,25,5,30,15818690,15.09 MiB,230564,225.16 KiB,16049254,15.31 MiB
RBSC-MSNEA100401B,3,1,4,671085,655.36 KiB,9089,8.88 KiB,680174,664.23 KiB
RBSC-MSNEA3201,49,1,50,555439,542.42 KiB,24975,24.39 KiB,580414,566.81 KiB
RBSC-MSNEA470301B,3,1,4,778747,760.50 KiB,7925,7.74 KiB,786672,768.23 KiB
RBSC-MSNEA470401B,3,1,4,573907,560.46 KiB,9007,8.80 KiB,582914,569.25 KiB
RBSC-MSNEA5002,61,1,62,2209971,2.11 MiB,142640,139.30 KiB,2352611,2.24 MiB
RBSC-MSNEA5022,16,1,17,35117867,33.49 MiB,47869,46.75 KiB,35165736,33.54 MiB
RBSC-MSNEA5023,75,1,76,54928156,52.38 MiB,57866,56.51 KiB,54986022,52.44 MiB
RBSC-MSNEA5031,51,1,52,109454508,104.38 MiB,115214,112.51 KiB,109569722,104.49 MiB
RBSC-MSNEA5032,95,2,97,33437098,31.89 MiB,109495,106.93 KiB,33546593,31.99 MiB
RBSC-MSNEA5035,16,1,17,207594,202.73 KiB,15300,14.94 KiB,222894,217.67 KiB
RBSC-MSNEA80001,3,1,4,667656,652.01 KiB,5890,5.75 KiB,673546,657.76 KiB
RBSC-MSNEA800101B,3,1,4,553557,540.58 KiB,6525,6.37 KiB,560082,546.96 KiB
RBSC-MSNEA800301B,3,1,4,611214,596.89 KiB,7606,7.43 KiB,618820,604.32 KiB
RBSC-MSNEA8004,6,1,7,1040162,1015.78 KiB,11262,11.00 KiB,1051424,1.00 MiB
RBSC-MSNEA8005,6,1,7,1408701,1.34 MiB,9666,9.44 KiB,1418367,1.35 MiB
RBSC-MSNEA800701B,3,1,4,549923,537.03 KiB,6451,6.30 KiB,556374,543.33 KiB
RBSC-MSNEA8012,4,1,5,69994,68.35 KiB,10379,10.14 KiB,80373,78.49 KiB
RBSC-MSNEA8013,8,2,10,138705,135.45 KiB,23768,23.21 KiB,162473,158.67 KiB
RBSC-MSNMN0500,249,1,250,146959778,140.15 MiB,104692,102.24 KiB,147064470,140.25 MiB
RBSC-MSNMN0501,158,1,159,79098363,75.43 MiB,74546,72.80 KiB,79172909,75.51 MiB
RBSC-MSNMN0502,12,1,13,148648,145.16 KiB,10792,10.54 KiB,159440,155.70 KiB
RBSC-MSNMN0800,32,1,33,2564445,2.45 MiB,21684,21.18 KiB,2586129,2.47 MiB
RBSC-MSNMN3000,315,1,316,21108526,20.13 MiB,130903,127.83 KiB,21239429,20.26 MiB
RBSC-MSNMN3001,5,1,6,76686,74.89 KiB,9598,9.37 KiB,86284,84.26 KiB
RBSC-MSNMN3007,36,2,38,5609500,5.35 MiB,62398,60.94 KiB,5671898,5.41 MiB
RBSC-MSNMN3008,63,1,64,4123810,3.93 MiB,45482,44.42 KiB,4169292,3.98 MiB
RBSC-MSNMN3009,3,2,5,86715,84.68 KiB,17752,17.34 KiB,104467,102.02 KiB
RBSC-MSNMN3010,6,1,7,90142,88.03 KiB,10224,9.98 KiB,100366,98.01 KiB
RBSC-MSNMN5004,40,2,42,10033104,9.57 MiB,108884,106.33 KiB,10141988,9.67 MiB
RBSC-MSNMN5009,167,1,168,47978358,45.76 MiB,83486,81.53 KiB,48061844,45.84 MiB
RBSC-MSNMN5011,46,1,47,11700868,11.16 MiB,32842,32.07 KiB,11733710,11.19 MiB
RBSC-MSNMN5016,63,1,64,5259913,5.02 MiB,35574,34.74 KiB,5295487,5.05 MiB
RBSC-MSNMN5017,36,1,37,3065078,2.92 MiB,28203,27.54 KiB,3093281,2.95 MiB
RBSC-MSNMN5018,81,1,82,1016768,992.94 KiB,67508,65.93 KiB,1084276,1.03 MiB
RBSC-MSNMN8004,3,1,4,923347,901.71 KiB,9516,9.29 KiB,932863,911.00 KiB
RBSC-MSNMN8006,14,1,15,614930,600.52 KiB,15341,14.98 KiB,630271,615.50 KiB
RBSC-MSNMN8008,4,1,5,69535,67.91 KiB,10009,9.77 KiB,79544,77.68 KiB
RBSC-MSNMN9201,165,2,167,47102793,44.92 MiB,189374,184.94 KiB,47292167,45.10 MiB
RBSC-MSSP0001,11,1,12,448925,438.40 KiB,13631,13.31 KiB,462556,451.71 KiB
RBSC-MSSP0014,267,1,268,85629513,81.66 MiB,119918,117.11 KiB,85749431,81.78 MiB
RBSC-MSSP0015,86,1,87,5471759,5.22 MiB,48392,47.26 KiB,5520151,5.26 MiB
RBSC-MSSP2005,83,1,84,1014073,990.31 KiB,51773,50.56 KiB,1065846,1.02 MiB
RBSC-MSSP5000,303,10,313,47780264,45.57 MiB,1195976,1.14 MiB,48976240,46.71 MiB
TEMP,6,27,33,27284,26.64 KiB,2701769441,2.70 GB,2701796725,2.70 GB
UND,14,0,14,21444,20.94 KiB,0,0 bytes,21444,20.94 KiB
VIDEO-CONTENT,8,0,8,1214371,1.16 MiB,0,0 bytes,1214371,1.16 MiB
fedora-system,8,0,8,113504,110.84 KiB,0,0 bytes,113504,110.84 KiB
und,12850,142420,155270,154061237,146.92 MiB,70867808130,70.87 GB,71021869367,71.02 GB
